Treatment	Rep	Time	Cr	Cr sd	Cr(III)	Cr(III) sd	?53Cr	?53Cr 2SEM	NOx	NOx sd	PO4	PO4 sd	Si(OH)4	Si(OH)4 sd	NH4	NH4 sd	NO2	NO2 sd
		(hr)	nmol kg-1	nmol kg-1	nmol kg-1	nmol kg-1	‰	‰	µM	µM	µM	µM	µM	µM	uM	uM	uM	uM
T0	NA	0	3.28	0.03	0.17	0.07	1.02	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100 m	A	12	3.43	0.17	0.23	0.02	NA	NA	9.2	0	0.78	0.01	0.7	0.1	0.08	0.01	0.2	0
	B		3.38	0.17	0.23	0.02	NA	NA	9.1	0	0.77	0.01	0.6	0	0.16	0.09	0.2	0
	C		3.39	0.17	0.23	0.02	NA	NA	9.2	0	0.77	0	0.7	0	0.1	0.01	0.2	0
150 m	A	12	3.26	0.16	0.3	0.03	NA	NA	9.2	0	0.78	0.01	0.7	0	0.1	0.01	0.19	0
	B		3.76	0.19	0.52	0.05	NA	NA	9.2	0	0.77	0.01	0.7	0	0.1	0.01	0.2	0
	C		3.31	0.17	0.28	0.03	NA	NA	9.1	0	0.75	0	0.7	0	0.09	0.01	0.19	0
100 m	A	60	3.3	0.17	0.27	0.03	NA	NA	9.1	0	0.75	0	0.7	0	0.11	0.01	0.2	0
	B		3.32	0.17	0.23	0.02	NA	NA	8.9	0	0.75	0	0.7	0.1	0.09	0	0.19	0
	C		3.3	0.17	0.22	0.02	NA	NA	9	0	0.75	0	0.6	0	0.12	0.01	0.2	0
150 m	A	60	3.25	0.16	0.21	0.02	NA	NA	9.1	0	0.76	0	0.6	0	0.09	0.01	0.18	0
	B		3.26	0.16	0.24	0.02	NA	NA	9.1	0	0.74	0	0.6	0	0.1	0.01	0.18	0
	C		3.25	0.16	0.18	0.02	NA	NA	9	0	0.74	0.01	0.6	0.1	0.08	0.01	0.18	0
100 m	A	108	NA	NA	NA	NA	NA	NA	9.2	0	0.75	0	0.8	0	0.14	0.01	0.2	0
	B		NA	NA	NA	NA	NA	NA	9.1	0	0.73	0	0.8	0.1	0.15	0.03	0.2	0
	C		NA	NA	NA	NA	NA	NA	9.2	0	0.74	0	0.7	0	0.2	0.04	0.2	0
150 m	A	108	NA	NA	NA	NA	NA	NA	9.2	0	0.74	0	0.8	0	0.08	0.02	0.16	0
	B		NA	NA	NA	NA	NA	NA	9.2	0	0.74	0.01	0.8	0.1	0.1	0	0.16	0
	C		NA	NA	NA	NA	NA	NA	9.1	0	0.74	0	0.8	0.1	0.14	0.08	0.16	0
100 m	A	132	3.38	0.03	0.23	0.02	1.01	0.02	9.3	0	0.75	0	0.8	0.1	0.07	0.01	0.21	0
	B		3.38	0.03	0.28	0.03	0.98	0.04	9.1	0	0.74	0	0.7	0	0.05	0.01	0.2	0
	C		3.36	0.03	0.21	0.02	1	0.04	9.1	0	0.75	0	0.7	0	0.04	0	0.2	0
150 m	A	132	3.29	0.03	0.29	0.02	1.05	0.04	9.1	0	0.75	0	0.7	0	0.04	0.01	0.16	0
	B		3.36	0.03	0.18	0.02	1	0.02	9.1	0	0.75	0.01	0.7	0	0.04	0.01	0.16	0
	C		3.33	0.03	0.19	0.02	1.02	0.04	9	0	0.74	0	0.7	0	0.03	0.01	0.16	0
