Cruise	Station	Latitude	Longitude	Depth	Potential Temperature	Salinity	??	O2	[Cr]	?53Cr	?53Cr	NO3	PO4	Si(OH)4	Water Mass
											2SEM				
		?N	?E	M	?C		kg m-3	µmol kg-1	nmol kg-1	‰	‰	µmol kg-1	µmol kg-1	µmol kg-1	
ACE Leg 1	3	-50.99	-72.04	125	2.62	33.95	27.24	268	3.71	0.97	0.03	25.9	1.82	21.2	AAIW
ACE Leg 1	5	-54.83	-95.68	100	3.97	34.03	27.17	287	3.58	0.99	0.03	24.3	1.42	11.9	AAIW
ACE Leg 1	5	-54.83	-95.68	150	3.39	34.05	27.25	275	3.59	0.96	0.03	25.6	1.65	15.3	AAIW
ACE Leg 1	5	-54.83	-95.68	300	2.82	34.14	27.39	243	3.64	0.99	0.03	34.2	1.87	54	AAIW
ACE Leg 1	5	-54.83	-95.68	500	2.44	34.35	27.62	191	3.73	1	0.03	34.3	1.91	69.4	UCDW
ACE Leg 1	5	-54.83	-95.68	1000	2.31	34.68	27.92	167	3.79	0.97	0.02	32.4	2.09	76.6	UCDW
ACE Leg 1	6	-53.2	-118.13	90	3.85	33.98	27.14	296	3.56	1.01	0.03	23.9	1.66	9.46	AAIW
ACE Leg 1	6	-53.2	-118.13	125	3.23	34	27.23	283	3.6	0.97	0.03	26.8	1.77	16.6	AAIW
ACE Leg 1	6	-53.2	-118.13	150	2.69	33.98	27.26	294	3.61	0.98	0.02	27.9	1.79	18.7	AAIW
ACE Leg 1	6	-53.2	-118.13	200	1.96	33.98	27.33	296	3.61	0.98	0.03	28.9	1.83	22.3	AAIW
ACE Leg 1	6	-53.2	-118.13	300	2.05	34.1	27.44	256	3.64	0.97	0.02	31.1	2.01	33.5	AAIW
ACE Leg 1	6	-53.2	-118.13	1000	2.29	34.66	27.91	163	3.78	0.95	0.02	32.9	2.15	74.5	UCDW
ACE Leg 2	20	-59.6	-67.92	70	2.7	33.77	27.06	310.9	3.63	0.98	0.03	25.2	1.85	15.5	PFZ-ASW
IN2018V02	SOTS	-46.97	141.93	1000	4.77	34.16	27.2	220	3.19	1	0.04	29.3	2.02	26.3	AAIW
IN2018V02	SOTS	-46.97	141.93	1250	3.53	34.23	27.41	201	3.21	0.97	0.03	32.6	2.27	48.3	AAIW
IN2018V04	PS1	-47	141.9	1000	4.8	34.35	27.34	207	3.4	0.96	0.03	29.7	2.06	29.2	AAIW
IN2018V04	PS1	-47	141.9	1500	2.78	34.53	27.74	173	3.8	0.87	0.02	34.1	2.38	71	UCDW
IN2018V04	PS1	-47	141.9	2000	2.25	34.68	27.92	175	3.95	0.86	0.03	32.4	2.28	82	UCDW
IN2018V04	PS1	-47	141.9	2500	1.88	34.73	28.01	180	3.94	0.84	0.02	32.1	2.27	96.9	UCDW
IN2018V04	PS1	-47	141.9	3000	1.52	34.73	28.06	189	4.13	0.8	0.02	32	2.25	106	LCDW
IN2018V04	PS1	-47	141.9	3500	1.2	34.73	28.11	197	4	0.83	0.01	31.8	2.24	111	LCDW
IN2018V04	PS1	-47	141.9	4000	0.92	34.72	28.15	203	4.08	0.82	0.02	32	2.24	116	LCDW
IN2018V04	PS2	-45.7	153.5	1000	4.53	34.35	27.38	204	3.42	0.91	0.03	30.7	2.11	37.2	AAIW
IN2018V04	PS2	-45.7	153.5	1500	2.82	34.52	27.74	172	3.8	0.87	0.03	34.1	2.38	75.9	UCDW
IN2018V04	PS2	-45.7	153.5	2000	2.24	34.68	27.92	178	3.68	0.89	0.02	32.4	2.25	81	UCDW
IN2018V04	PS2	-45.7	153.5	2500	1.78	34.74	28.03	191	3.78	0.88	0.02	31.1	2.17	89.9	UCDW
IN2018V04	PS2	-45.7	153.5	3000	1.34	34.73	28.07	198	3.91	0.87	0.02	31.4	2.19	103	LCDW
IN2018V04	PS2	-45.7	153.5	3500	0.94	34.72	28.15	203	3.94	0.83	0.02	31.9	2.23	113	LCDW
IN2018V04	PS2	-45.7	153.5	4000	0.74	34.71	28.18	206	4.05	0.87	0.02	32.1	2.25	118	LCDW
IN2018V04	PS2	-45.7	153.5	4500	0.64	34.71	28.19	211	4.08	0.84	0.02	32.1	2.25	120	LCDW
IN2018V04	PS3	-40.4	153.9	1000	5.08	34.44	27.37	187	3.31	0.88	0.02	29.7	2.05	34.2	AAIW
IN2018V04	PS3	-40.4	153.9	1250	3.9	34.488	27.57	171	3.96	0.82	0.02	33	2.32	61.2	UCDW
IN2018V04	PS3-MC1	-40.3	153.5	3349	1.15	34.72	28.11	197	4.81	0.76	0.03	NA	NA	NA	LCDW
IN2018V04	TS8	-34.67	154.55	750	5.93	34.44	27.26	196	3.51	0.96	0.02	28.1	1.94	28.2	AAIW
IN2018V04	TS8	-34.67	154.55	1000	4.49	34.46	27.46	180	3.75	0.92	0.02	31.7	2.22	50.8	AAIW
IN2018V04	TS8	-34.67	154.55	1500	2.73	34.6	27.8	157	4.12	0.88	0.02	34.4	2.42	88.5	UCDW
IN2018V04	TS8	-34.67	154.55	2000	2.1	34.68	27.94	172	4.12	0.82	0.03	32.9	2.33	91.7	UCDW
IN2018V04	TS8	-34.67	154.55	3000	1.21	34.72	28.1	194	3.84	0.85	0.02	32	2.26	108	LCDW
IN2018V04	TS8	-34.67	154.55	3750	0.87	34.72	28.16	199	3.88	0.85	0.02	32.3	2.28	115	LCDW
GP13	8	-30	160	1000	5.62	34.47	27.32	194	3.63	0.94	0.03	28.8	1.96	33.2	AAIW
GP13	13	-30	165	1500	3.32	34.56	27.7	164	4.27	0.91	0.02	34.1	2.42	84	UCDW
GP13	13	-30	165	3000	1.72	34.68	28	161	4.54	0.83	0.02	35.1	2.49	121	LCDW
GP13	13	-30	165	3200	1.68	34.69	28.01	164	4.53	0.9	0.03	34.9	2.49	121	LCDW
GP13	18	-30	170	1500	3.13	34.55	27.72	168	4.17	0.88	0.03	34.1	2.4	85	UCDW
GP13	18	-30	170	2900	1.68	34.67	27.99	160	4.57	0.79	0.03	35.6	2.54	127	LCDW
GP13	33	-32.5	185	1500	2.89	34.52	27.72	168	4.14	0.86	0.02	NA	NA	NA	UCDW
GP13	33	-32.5	185	2500	1.84	34.65	28.02	151	4.69	0.78	0.02	36.2	2.57	126	UCDW
GP13	33	-32.5	185	3000	1.55	34.68	28.02	162	4.58	0.84	0.02	35.4	2.51	129	LCDW
GP13	33	-32.5	185	4000	0.88	34.72	28.16	209	4.13	0.88	0.03	32.2	2.23	117	LCDW
GP13	33	-32.5	185	5000	0.62	34.71	28.2	216	4.11	0.91	0.03	32.3	2.25	124	LCDW
GP13	33	-32.5	185	5400	0.61	34.71	28.2	217	4.1	0.91	0.03	32.3	2.26	125	LCDW
M77/4	78	-14	-77.06	1500	2.86	34.6	27.78	83.7	5.09	0.81	0.04	NA	NA	NA	PDW
M77/4	78	-14	-77.06	2000	2.15	34.64	27.9	104	5.26	0.72	0.04	NA	NA	NA	PDW
M77/4	78	-14	-77.06	2500	1.71	34.67	27.98	132	5.47	0.74	0.03	NA	NA	NA	LCDW
M77/4	78	-14	-77.06	3000	1.55	34.68	28.02	131	5.57	0.69	0.03	NA	NA	NA	LCDW
