date_time [UTC],latitude [degN],longitude [degE],trace_metal_rosette_cast_number,ace_event_number,ace_sample_number,depth [m],chromium_concentration [nmol/kg],d53Cr [‰],internal_error [‰]
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_15m,15,3.27958,1.02023,0.01792
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_40m,40,3.27481,1.03613,0.02047
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_60m,60,3.26909,1.04769,0.02027
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_150m,150,3.26816,1.06464,0.01586
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_250m,250,3.27141,1.04937,0.02221
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_500m,500,3.31090,1.03328,0.02341
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_750m,750,3.39084,0.99234,0.02525
2017-01-17T07:23:53+00:00,-46.906,141.931,7,613,AT/ACE/1/15/017/613/ME/Chromium_1000m,1000,3.52153,0.98490,0.02447
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_15m,15,3.22389,1.03654,0.02117
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_40m,40,3.23458,1.04925,0.02511
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_60m,60,3.21947,1.05273,0.02842
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_150m,150,3.22010,1.05959,0.02406
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_250m,250,3.22233,1.05013,0.02028
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_500m,500,3.29801,1.01955,0.01993
2017-01-23T08:47:00+00:00,-46.393,150.389,8,915,AT/ACE/2/15/023/915/ME/Chromium_750m,750,3.30334,1.02112,0.02054
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_15m,15,3.45430,0.99469,0.02724
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_30m,30,3.43992,0.98252,0.02005
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_50m,50,3.44218,0.96691,0.02228
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_80m,80,3.39887,0.98726,0.02816
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_125m,125,3.37345,1.00299,0.02377
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_200m,200,3.41468,0.97422,0.01993
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_300m,300,3.46134,0.98613,0.02176
2017-01-25T02:18:00+00:00,-53.583,149.298,9,933,AT/ACE/2/15/025/933/ME/Chromium_500m,500,3.51683,0.95858,0.02013
